,Name,Known For,id
0,Ryan Gosling,Blue Valentine,331516.0
1,Simon Pegg,The World's End,670408.0
2,Stephen Chow,Kung fu,159507.0
3,Ben Stiller,Zoolander,1774.0
4,Adam Sandler,The Waterboy,1191.0
5,Colin Firth,A Single Man,147.0
6,Sacha Baron Cohen,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,56187.0
7,Tom Hanks,Cast Away,158.0
8,Harrison Ford,Raiders of the Lost Ark,148.0
9,Tom Hardy,Inception,362766.0
10,Tom Hardy,Inception,362767.0
11,Tom Hardy,Inception,1987321.0
12,Tom Hardy,Inception,6679029.0
13,Morgan Freeman,Driving Miss Daisy,151.0
14,Jude Law,The Talented Mr. Ripley,179.0
15,Lily Franky,Manbiki kazoku,1410940.0
16,Sakura Andô,Manbiki kazoku,2747232.0
17,Kirin Kiki,Manbiki kazoku,452817.0
18,Tom Hardy,Inception,362766.0
19,Tom Hardy,Inception,362767.0
20,Tom Hardy,Inception,1987321.0
21,Tom Hardy,Inception,6679029.0
22,Russell Crowe,Les Misérables,128.0
23,Leslie Nielsen,Airplane!,558.0
24,Münir Özkul,Hababam Sinifi Dokuz Doguruyor,654805.0
25,Adile Nasit,Kibar Feyzo,621870.0
26,Sener Sen,Kabadayi,784038.0
27,Kemal Sunal,Saban Oglu Saban,839017.0
28,Ilyas Salman,Sis ve Gece,758656.0
29,Hiroshi Abe,Aruitemo aruitemo,8346.0
30,Hiroshi Abe,Aruitemo aruitemo,9249049.0
31,You,Dare mo shiranai,1645591.0
32,Brad Pitt,Ad Astra,93.0
33,Charles Chaplin,The Great Dictator,122.0
34,Sylvia Hoeks,Blade Runner 2049,1679778.0
35,Yilmaz Erdogan,The Water Diviner,258784.0
36,Davor Dujmovic,Dom za vesanje,241131.0
37,Ljubica Adzovic,"Crna macka, beli macor",12557.0
38,Christian Bale,The Dark Knight,288.0
39,Viggo Mortensen,The Lord of the Rings: The Return of the King,1557.0
40,Elijah Wood,The Lord of the Rings: The Fellowship of the Ring,704.0
41,Sean Bean,The Lord of the Rings: The Fellowship of the Ring,293.0
42,Orlando Bloom,The Lord of the Rings: The Fellowship of the Ring,89217.0
43,Ahmet Mümtaz Taylan,Leyla ile Mecnun,1488529.0
44,Donnie Yen,Ip Man,947447.0
45,Nick Frost,The World's End,296545.0
46,Jason Statham,Crank,5458.0
47,Vinnie Jones,Snatch,5068.0
48,Leonardo DiCaprio,Inception,138.0
49,Matthew McConaughey,Dallas Buyers Club,190.0
50,Jonah Hill,21 Jump Street,1706767.0
51,Clint Eastwood,Million Dollar Baby,142.0
52,Jared Leto,Dallas Buyers Club,1467.0
53,Marlon Wayans,White Chicks,5541.0
54,Jean Reno,Léon,606.0
55,Mila Kunis,Black Swan,5109.0
56,Keanu Reeves,The Matrix,206.0
57,Laurence Fishburne,The Matrix,401.0
58,Lee Van Cleef,Escape from New York,1812.0
59,Samuel L. Jackson,Pulp Fiction,168.0
60,John Travolta,Pulp Fiction,237.0
61,Bruce Willis,Die Hard,246.0
62,Tim Robbins,Mystic River,209.0
63,Toshirô Mifune,Yôjinbô,1536.0
64,Robert De Niro,Raging Bull,134.0
65,Matt Damon,Good Will Hunting,354.0
66,Eddie Murphy,The Nutty Professor,552.0
67,Martin Lawrence,Martin,1454.0
68,Zabit Memedov,"Crna macka, beli macor",
69,Srdjan 'Zika' Todorovic,Srpski film,865411.0
70,Cem Yilmaz,G.O.R.A.,948000.0
71,Zeki Alasya,Sivri Akillilar,16089.0
72,Metin Akpinar,Nes'e-i muhabbet,15527.0
73,Melissa McCarthy,The Heat,565250.0
74,Keira Knightley,Pirates of the Caribbean: The Curse of the Black Pearl,461136.0
75,Matthew Macfadyen,Succession,532193.0
